,dist_bin,commodty,use_rate_bin,sum_wt,Ur,Ut0,Ut1,pt0,pt1
154,400,"""18""",100,1540.57323757,-2.25640698356,-2.67745776,-1.57050522,0.396265335924,0.665054634411
155,400,"""18""",1000,726.254166667,-22.5640698356,-47.7535776,-36.6840522,1.1490416631e-11,7.37512277134e-07
156,400,"""19""",100,4760.63136728,-0.888939318882,,,,
157,400,"""19""",1000,8331.53899412,-8.88939318882,,,,
158,400,"""19""",2000,7039.17579742,-17.7787863776,,,,
159,400,"""19""",8000,44270.0,-71.1151455105,,,,
160,400,"""20""",100,5323.07429016,-0.917126368144,4.44488224,4.85666228,0.995330433839,0.996901669276
161,400,"""20""",1000,4506.60678887,-9.17126368144,-12.3231776,-8.2053772,0.0410159306807,0.724298827476
162,400,"""20""",2000,1840.0,-18.3425273629,-30.9543552,-22.7187544,3.33235542402e-06,0.0124165953988
163,400,"""20""",8000,18430.0,-73.3701094515,-142.7414208,-109.7990176,7.45456453742e-31,1.51051905901e-16
164,400,"""20""",50000,52345.0,-458.563184072,-925.25088,-719.36086,2.08982002525e-203,5.45768481611e-114
165,400,"""21""",100,77.2203983516,-14.028721332,-19.7110666667,-14.2389066667,0.00339400339887,0.447646264307
166,400,"""22""",100,4181.8081822,-4.16132271358,-9.68287696,-7.27271762,0.00398369341662,0.0426396656699
167,400,"""22""",1000,1659.75,-41.6132271358,-107.8267696,-83.7251762,1.75316939476e-29,5.14058919709e-19
168,400,"""22""",2000,8172.958,-83.2264542716,-216.8755392,-168.6723524,9.05607278137e-59,7.78606350425e-38
169,400,"""22""",8000,8238.3,-332.905817086,-871.1681568,-678.3554096,1.72042619337e-234,9.4004402987e-151
170,400,"""22""",25000,25695.65,-1040.33067839,-2724.99724,-2122.457405,0.0,0.0
171,400,"""23""",100,869.091914682,-1.59777301637,0.17669664,0.81925908,0.855012636296,0.918116899411
172,400,"""24""",100,7022.70849774,-0.581358398695,-0.23290416,0.07671898,0.586242685708,0.658828366094
173,400,"""24""",1000,2147.17339118,-5.81358398695,-12.8410416,-9.7448102,0.000886398083389,0.019242078112
174,400,"""25""",100,722.520238095,-0.365790909422,2.63950384,2.85841998,0.952812753545,0.961735279123
175,400,"""26""",100,2036.20463068,-1.47873550379,-1.39673296,-0.58212462,0.520489155764,0.710252540588
176,400,"""26""",1000,820.410416667,-14.7873550379,-34.5683296,-26.4222462,2.56585375769e-09,8.85170896774e-06
177,400,"""26""",2000,4752.97338523,-29.5747100757,-71.4256592,-55.1334924,6.67365471139e-19,7.9425850208e-12
178,400,"""27""",100,3896.97772209,-2.50506203814,-0.84923936,0.22009208,0.839676449992,0.938494714973
179,400,"""27""",1000,2416.08756351,-25.0506203814,-44.3933936,-33.7000792,3.97686020344e-09,0.000175190951949
180,400,"""27""",2000,2700.0,-50.1012407628,-92.7757872,-71.3891584,2.92873423986e-19,5.68558083728e-10
181,400,"""31""",100,1495.99396668,-1.82529883461,-0.96119936,0.02634708,0.703516439891,0.864320236424
182,400,"""31""",8000,13800.0,-146.023906769,-353.9489488,-274.9452336,5.00381905189e-91,1.02371521385e-56
183,400,"""31""",25000,34463.025,-456.324708653,-1113.54284,-866.65623,3.74793585136e-286,6.2414360894e-179
184,400,"""31""",100000,89001.0,-1825.29883461,-4464.69236,-3477.14592,0.0,0.0
185,400,"""32""",100,1740.80258719,-0.268105254855,1.56341904,1.69549438,0.861943213603,0.876921987775
186,400,"""33""",100,664.779953713,-2.9578382383,0.07443024,0.85275578,0.95401080318,0.978344322553
187,400,"""33""",1000,700.0,-29.578382383,-31.6196976,-23.8364422,0.114932876044,0.996801724701
188,400,"""33""",2000,2000.0,-59.1567647659,-66.8353952,-51.2688844,0.000462394130085,0.999624876615
189,400,"""37""",100,336.0,-34.0845730309,-31.6550386667,-23.8869506667,0.919051898335,0.999962742587
190,400,"""41""",100,3129.61239647,-0.27771996661,2.35703904,2.52257188,0.933065383451,0.942691592904
191,400,"""41""",1000,1418.3433047,-2.7771996661,-4.3836096,-2.7282812,0.167087643822,0.512227178302
192,400,"""41""",2000,2444.22158327,-5.55439933219,-11.8732192,-8.5625624,0.00179882732058,0.0470584524778
193,400,"""43""",100,0.2,-3.2191582502,1.13616864,2.30066808,0.987324489077,0.996009444637
194,600,"""02""",100,7296.48939944,-1.1402540286,-1.73125396,-0.91069912,0.356405456515,0.557138037658
195,600,"""02""",1000,11566.815,-11.402540286,-35.5285396,-27.3229912,3.32821694588e-11,1.21852926996e-07
196,600,"""02""",2000,43312.646,-22.805080572,-73.0810792,-56.6699824,1.46356233284e-22,1.96182383161e-15
197,600,"""02""",8000,105577.65,-91.220322288,-298.3963168,-232.7519296,1.05830001092e-90,3.41667704204e-62
198,600,"""02""",25000,107273.881,-285.06350715,-936.78949,-731.65078,9.09917327261e-284,1.12101574644e-194
199,600,"""02""",50000,44000.0,-570.1270143,-1875.60298,-1465.32556,0.0,0.0
200,600,"""03""",100,1403.00234528,-0.103179703137,3.05904764,3.13245608,0.959387818878,0.962153510455
201,600,"""04""",100,1852.39,-2.0067111961,-3.62832316,-2.22346152,0.164982680627,0.446023574609
202,600,"""05""",100,478.22,-0.486888777021,4.46777724,4.76062728,0.992998926003,0.994766959633
203,600,"""06""",100,1495.53283333,-0.18540012741,1.67692084,1.80170648,0.8655672464,0.879436694141
204,600,"""07""",100,1409.95147047,-0.31231613754,2.14152294,2.36057268,0.920841742238,0.9354077936
205,600,"""07""",1000,1930.0,-3.1231613754,-6.8807706,-4.6902732,0.0228071659272,0.172628513839
206,600,"""11""",100,1585.29387657,-0.433512492639,1.77962184,2.06332848,0.901422793448,0.923920063478
207,600,"""11""",8000,8294.8635,-34.6809994111,-100.7922528,-78.0957216,1.94199211172e-29,1.39709429748e-19
208,600,"""12""",100,200.760869566,-0.136423585141,1.54759054,1.71177988,0.843435336101,0.863916031204
209,600,"""13""",100,200.407,-1.43593924362,0.15601414,1.11001908,0.830890752992,0.927301521559
210,600,"""15""",100000,1158608.0,,,,,
