,,0,1
"(29.4246002, -98.4951405)","(39.3666687, -101.3768295)",12 hours 25 mins,793.125
"(29.4246002, -98.4951405)","(39.7652881, -99.2128695)",12 hours 26 mins,851.875
"(29.4246002, -98.4951405)","(39.779179, -98.785075)",12 hours 7 mins,831.875
"(29.4246002, -98.4951405)","(39.783235, -97.894926)",11 hours 29 mins,793.125
"(29.4246002, -98.4951405)","(39.7983453, -98.6761812)",12 hours 7 mins,828.75
"(29.4246002, -98.4951405)","(39.809734, -98.55562)",11 hours 58 mins,823.75
"(29.4246002, -98.4951405)","(39.8246673, -97.6325554)",11 hours 18 mins,783.75
"(29.4246002, -98.4951405)","(43.7438722, -88.8670556)",19 hours 51 mins,1315.0
"(29.4246002, -98.4951405)","(47.920575, -104.0310439)",23 hours 45 mins,1590.0
"(29.4279955, -89.6108947)","(30.421309, -87.2169149)",3 hours 59 mins,256.25
"(29.4279955, -89.6108947)","(35.2598655, -80.4253426)",11 hours 54 mins,803.75
"(29.4279955, -89.6108947)","(39.4667025, -87.4139119)",12 hours 22 mins,841.25
"(29.4279955, -89.6108947)","(43.3997196, -88.5326008)",16 hours 27 mins,1121.25
"(29.526772, -98.351485)","(30.820742, -88.0705556)",9 hours 49 mins,668.125
"(29.526772, -98.351485)","(42.6829765, -89.0226793)",18 hours 13 mins,1218.75
"(29.526772, -98.351485)","(42.7755645, -88.943999)",18 hours 20 mins,1225.0
"(29.526772, -98.351485)","(43.0349931, -87.922497)",19 hours 0 mins,1277.5
"(29.526772, -98.351485)","(43.0785747, -89.1988571)",18 hours 40 mins,1250.0
"(29.5633199, -95.019723)","(30.820742, -88.0705556)",6 hours 57 mins,473.125
"(29.5895382, -96.331239)","(43.1683286, -89.0667775)",18 hours 14 mins,1206.25
"(29.6613206, -91.0962114)","(35.4119944, -99.4042592)",11 hours 5 mins,748.75
"(29.6657838, -95.0193729)","(35.3738712, -119.0194639)",1 day 0 hours,1693.125
"(29.6657838, -95.0193729)","(43.074761, -89.3837613)",17 hours 36 mins,1161.25
"(29.6657838, -95.0193729)","(43.4704014, -89.7437844)",18 hours 10 mins,1202.5
"(29.6657838, -95.0193729)","(44.0206919, -88.5408574)",18 hours 49 mins,1228.75
"(29.6845807, -95.041244)","(42.7755645, -88.943999)",17 hours 4 mins,1126.25
"(29.6845807, -95.041244)","(44.0206919, -88.5408574)",18 hours 47 mins,1226.25
"(29.6910625, -95.2091006)","(30.820742, -88.0705556)",6 hours 56 mins,475.0
"(29.6910625, -95.2091006)","(35.3738712, -119.0194639)",1 day 0 hours,1681.25
"(29.6910625, -95.2091006)","(39.4667025, -87.4139119)",14 hours 16 mins,955.0
"(29.6910625, -95.2091006)","(43.0349931, -87.922497)",17 hours 38 mins,1190.0
"(29.7028266, -98.1257348)","(38.8402805, -97.6114237)",9 hours 53 mins,684.375
"(29.7052284, -95.1238204)","(30.820742, -88.0705556)",6 hours 52 mins,472.5
"(29.7052284, -95.1238204)","(31.9729271, -87.5224982)",8 hours 33 mins,573.125
"(29.7052284, -95.1238204)","(35.291162, -99.6400969)",7 hours 56 mins,536.875
"(29.7052284, -95.1238204)","(39.4667025, -87.4139119)",14 hours 16 mins,954.375
"(29.7052284, -95.1238204)","(43.0785747, -89.1988571)",17 hours 19 mins,1145.625
"(29.7335616, -95.2302123)","(39.350833, -101.7101722)",13 hours 22 mins,937.5
"(29.7355047, -94.9774274)","(35.2273656, -80.5006219)",15 hours 15 mins,1051.25
"(29.7355047, -94.9774274)","(39.4667025, -87.4139119)",14 hours 23 mins,961.25
"(29.7355047, -94.9774274)","(43.0349931, -87.922497)",17 hours 46 mins,1196.25
"(29.7355047, -94.9774274)","(43.0962919, -89.5119565)",17 hours 42 mins,1168.75
"(29.7355047, -94.9774274)","(43.1753733, -89.7960089)",18 hours 4 mins,1185.0
"(29.7355047, -94.9774274)","(43.5324809, -90.0026259)",18 hours 27 mins,1217.5
"(29.7355047, -94.9774274)","(43.7291617, -87.8106439)",18 hours 33 mins,1248.125
"(29.7589382, -95.3676974)","(30.820742, -88.0705556)",6 hours 57 mins,480.0
"(29.7589382, -95.3676974)","(35.131547, -79.4294789)",16 hours 40 mins,1137.5
"(29.7589382, -95.3676974)","(35.291162, -99.6400969)",7 hours 40 mins,519.375
"(29.7589382, -95.3676974)","(35.3738712, -119.0194639)",23 hours 45 mins,1666.25
"(29.7589382, -95.3676974)","(36.7295295, -119.7088613)",1 day 1 hour,1771.25
"(29.7589382, -95.3676974)","(38.8402805, -97.6114237)",9 hours 57 mins,693.75
"(29.7589382, -95.3676974)","(38.9194442, -97.371137)",10 hours 9 mins,710.625
"(29.7589382, -95.3676974)","(39.1670396, -86.5342881)",14 hours 44 mins,990.625
"(29.7589382, -95.3676974)","(42.7755645, -88.943999)",16 hours 50 mins,1111.875
"(29.7589382, -95.3676974)","(43.0349931, -87.922497)",17 hours 28 mins,1180.0
"(29.7589382, -95.3676974)","(43.0785747, -89.1988571)",17 hours 10 mins,1136.25
"(29.7589382, -95.3676974)","(43.4704014, -89.7437844)",17 hours 54 mins,1185.625
"(29.7589382, -95.3676974)","(43.5324809, -90.0026259)",18 hours 10 mins,1201.875
"(29.7589382, -95.3676974)","(44.0206919, -88.5408574)",18 hours 33 mins,1211.875
"(29.7589382, -95.3676974)","(47.920575, -104.0310439)",1 day 0 hours,1595.0
"(29.7760599, -95.1146533)","(30.820742, -88.0705556)",6 hours 42 mins,463.75
"(29.7760599, -95.1146533)","(43.0785747, -89.1988571)",17 hours 15 mins,1141.25
